mysql root@(none):covid_data> select c.`County_ID`, c.`Name`, c.`Never_Mask`, c.`Rarely_Mask` from `County` as c having (c.`Never_Mask` + c.`Rarely_Mask`) < 0.1;
+-----------+----------------------------+------------+-------------+
| County_ID | Name                       | Never_Mask | Rarely_Mask |
| 27139     | Scott                      | 0.021      | 0.057       |
| 28009     | Benton                     | 0.018      | 0.014       |
| 28021     | Claiborne                  | 0.038      | 0.061       |
| 28023     | Clarke                     | 0.044      | 0.021       |
| 28027     | Coahoma                    | 0.038      | 0.056       |
| 28055     | Issaquena                  | 0.030      | 0.060       |
| 28069     | Kemper                     | 0.032      | 0.021       |
| 28071     | Lafayette                  | 0.019      | 0.059       |
| 28075     | Lauderdale                 | 0.036      | 0.018       |
| 28079     | Leake                      | 0.031      | 0.040       |
| 28087     | Lowndes                    | 0.018      | 0.052       |
| 28089     | Madison                    | 0.029      | 0.043       |
| 28093     | Marshall                   | 0.013      | 0.006       |
| 28099     | Neshoba                    | 0.017      | 0.018       |
| 28101     | Newton                     | 0.010      | 0.025       |
| 28103     | Noxubee                    | 0.009      | 0.034       |
| 28105     | Oktibbeha                  | 0.015      | 0.070       |
| 28123     | Scott                      | 0.026      | 0.049       |
| 28153     | Wayne                      | 0.037      | 0.062       |
| 28159     | Winston                    | 0.029      | 0.038       |
| 28163     | Yazoo                      | 0.050      | 0.038       |
| 29047     | Clay                       | 0.033      | 0.037       |
| 29095     | Jackson                    | 0.027      | 0.066       |
| 29165     | Platte                     | 0.044      | 0.040       |
| 29183     | St. Charles                | 0.041      | 0.050       |
| 29189     | St. Louis                  | 0.024      | 0.028       |
| 29510     | St. Louis city             | 0.039      | 0.017       |
| 31025     | Cass                       | 0.042      | 0.049       |
| 31151     | Saline                     | 0.021      | 0.070       |
| 31159     | Seward                     | 0.028      | 0.046       |
| 32003     | Clark                      | 0.027      | 0.032       |
| 32005     | Douglas                    | 0.029      | 0.055       |
| 32007     | Elko                       | 0.021      | 0.046       |
| 32009     | Esmeralda                  | 0.086      | 0.004       |
| 32011     | Eureka                     | 0.002      | 0.054       |
| 32013     | Humboldt                   | 0.008      | 0.042       |
| 32015     | Lander                     | 0.004      | 0.085       |
| 32017     | Lincoln                    | 0.048      | 0.019       |
| 32021     | Mineral                    | 0.022      | 0.018       |
| 32023     | Nye                        | 0.061      | 0.038       |
| 32027     | Pershing                   | 0.010      | 0.013       |
| 32029     | Storey                     | 0.015      | 0.038       |
| 32031     | Washoe                     | 0.024      | 0.025       |
| 32033     | White Pine                 | 0.059      | 0.016       |
| 32510     | Carson City                | 0.023      | 0.064       |
| 33005     | Cheshire                   | 0.020      | 0.075       |
| 33007     | Coos                       | 0.017      | 0.050       |
| 33009     | Grafton                    | 0.039      | 0.026       |
| 33011     | Hillsborough               | 0.030      | 0.069       |
| 33015     | Rockingham                 | 0.018      | 0.057       |
| 34001     | Atlantic                   | 0.019      | 0.041       |
| 34003     | Bergen                     | 0.020      | 0.014       |
| 34005     | Burlington                 | 0.023      | 0.020       |
| 34007     | Camden                     | 0.028      | 0.005       |
| 34009     | Cape May                   | 0.013      | 0.011       |
| 34011     | Cumberland                 | 0.032      | 0.006       |
| 34013     | Essex                      | 0.035      | 0.014       |
| 34015     | Gloucester                 | 0.047      | 0.010       |
| 34017     | Hudson                     | 0.022      | 0.019       |
| 34019     | Hunterdon                  | 0.007      | 0.038       |
| 34021     | Mercer                     | 0.017      | 0.014       |
| 34023     | Middlesex                  | 0.020      | 0.016       |
| 34025     | Monmouth                   | 0.010      | 0.022       |
| 34027     | Morris                     | 0.023      | 0.018       |
| 34029     | Ocean                      | 0.012      | 0.056       |
| 34031     | Passaic                    | 0.029      | 0.015       |
| 34033     | Salem                      | 0.041      | 0.043       |
| 34035     | Somerset                   | 0.016      | 0.027       |
| 34037     | Sussex                     | 0.020      | 0.026       |
| 34039     | Union                      | 0.012      | 0.011       |
| 34041     | Warren                     | 0.035      | 0.020       |
| 35001     | Bernalillo                 | 0.036      | 0.014       |
| 35003     | Catron                     | 0.054      | 0.039       |
